@relation data__with_tab

@attribute Volt_X numeric
@attribute Curr_X numeric
@attribute Tem_X numeric
@attribute Lim_X numeric
@attribute Volt_Y numeric
@attribute Curr_Y numeric
@attribute Tem_Y numeric
@attribute Lim_Y numeric
@attribute Volt_Z numeric
@attribute Curr_Z numeric
@attribute Tem_Z numeric
@attribute Lim_Z numeric
@attribute Volt_Spdle numeric
@attribute Curr_Spdle numeric
@attribute Tem_Spdle numeric
@attribute Duty_Cycl_Spdle numeric
@attribute X_Over_Curr numeric
@attribute Y_Over_Curr numeric
@attribute Z_Over_Curr numeric
@attribute Spdle_Over_Curr numeric
@attribute X_Short_Cir numeric
@attribute Y_Short_Cir numeric
@attribute Z_Short_Cir numeric
@attribute Spdle_Short_Cir numeric
@attribute X_Lim_Fault numeric
@attribute Y_Lim_Fault numeric
@attribute Z_Lim_Fault numeric
@attribute Fault numeric

@data
17.68,1.06,26.5,0,17.77,0.93,27,0,17.62,0.92,28.5,0,11.7,6.45,50.5,95,0,0,0,1,0,0,0,0,0,0,0,1
18.24,0.97,26.5,0,17.98,0.95,27,0,17.91,0.98,28.5,0,11.7,6.45,50.5,95,0,0,0,1,0,0,0,0,0,0,0,1
17.94,1.11,27,0,17.63,1,27,0,17.69,0.91,28.5,0,11.69,6.43,50.5,95,0,0,0,1,0,0,0,0,0,0,0,1
17.66,1.04,27,0,17.85,1.55,27,0,17.84,2.64,28.5,0,11.7,1.26,40,95,0,0,1,0,0,0,0,0,0,0,0,1
17.82,0.98,27,0,17.82,1.13,27,0,17.68,2.41,28.5,0,11.7,1.24,40,95,0,0,1,0,0,0,0,0,0,0,0,1
17.72,0.92,27,0,17.75,0.91,27,0,17.9,2.45,28.5,0,11.7,1.28,40,95,0,0,1,0,0,0,0,0,0,0,0,1
17.65,0.96,27,0,17.62,0.93,27,0,17.74,2.5,28.5,0,11.7,1.27,40,95,0,0,1,0,0,0,0,0,0,0,0,1
17.75,1.23,27,0,17.62,1.57,27,0,17.65,2.41,28.5,0,11.7,1.26,40,95,0,0,1,0,0,0,0,0,0,0,0,1
17.63,1.02,27,0,17.74,1.31,27,0,17.65,2.41,28.5,0,11.7,1.27,40,95,0,0,1,0,0,0,0,0,0,0,0,1
17.76,1.43,27,0,17.63,0.92,27,0,18.1,2.85,28.5,0,11.71,1.24,40,95,0,0,1,0,0,0,0,0,0,0,0,1
17.67,1.27,27,0,18.45,1.01,27,0,17.65,2.52,28.5,0,11.7,1.19,40,95,0,0,1,0,0,0,0,0,0,0,0,1
17.72,1.3,27,0,17.64,1.29,27,0,17.88,2.67,28.5,0,11.69,1.22,40,95,0,0,1,0,0,0,0,0,0,0,0,1
17.63,1.28,27,0,17.66,0.91,27,0,17.64,2.5,28.5,0,11.67,1.17,40,95,0,0,1,0,0,0,0,0,0,0,0,1
17.66,0.97,27,0,17.74,1.2,27,0,17.95,2.44,28.5,0,11.69,1.26,40,95,0,0,1,0,0,0,0,0,0,0,0,1
17.63,0.98,27,0,17.64,0.95,27,0,18.3,2.44,28.5,0,11.69,1.24,40,95,0,0,1,0,0,0,0,0,0,0,0,1
18.08,0.91,27,0,18.21,1.11,27,0,18.07,2.41,28.5,0,11.7,1.22,40,95,0,0,1,0,0,0,0,0,0,0,0,1
17.63,1.02,27,0,18.03,1.09,27,0,17.65,2.69,28.5,0,11.71,1.28,40,95,0,0,1,0,0,0,0,0,0,0,0,1
17.98,0.99,27,0,17.87,1.15,27,0,17.87,2.62,28.5,0,11.7,1.26,40,95,0,0,1,0,0,0,0,0,0,0,0,1
17.64,1.37,27,0,18.12,0.92,27,0,17.65,2.42,28.5,0,11.69,1.24,40,95,0,0,1,0,0,0,0,0,0,0,0,1
17.66,0.92,27,0,18.4,1.01,27,0,17.66,2.51,28.5,0,11.69,1.2,40,95,0,0,1,0,0,0,0,0,0,0,0,1
17.68,0.97,27,0,18.25,0.96,27,0,17.77,2.42,28.5,0,11.7,1.23,40,95,0,0,1,0,0,0,0,0,0,0,0,1
